file,title,page_url,download_url,mime,licence,credit
aiga_lostandfound.png,File:Aiga lostandfound.svg,https://commons.wikimedia.org/wiki/File:Aiga_lostandfound.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fc/Aiga_lostandfound.svg/960px-Aiga_lostandfound.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_mail_white.png,File:Aiga mail white.svg,https://commons.wikimedia.org/wiki/File:Aiga_mail_white.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/82/Aiga_mail_white.svg/960px-Aiga_mail_white.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,CC0,File:Aiga mail.svg
aiga_mail.png,File:Aiga mail.svg,https://commons.wikimedia.org/wiki/File:Aiga_mail.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/df/Aiga_mail.svg/960px-Aiga_mail.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_no_entry_red.png,File:Aiga No-Entry - Red.svg,https://commons.wikimedia.org/wiki/File:Aiga_No-Entry_-_Red.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/Aiga_No-Entry_-_Red.svg/960px-Aiga_No-Entry_-_Red.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,Converted from AIGA's Symbol Signs collection.
aiga_no_smoking_red.png,File:Aiga No-Smoking - Red.svg,https://commons.wikimedia.org/wiki/File:Aiga_No-Smoking_-_Red.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e2/Aiga_No-Smoking_-_Red.svg/960px-Aiga_No-Smoking_-_Red.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,Converted from AIGA's Symbol Signs collection.
aiga_nodogs_red.png,File:Aiga NoDogs - Red.svg,https://commons.wikimedia.org/wiki/File:Aiga_NoDogs_-_Red.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7e/Aiga_NoDogs_-_Red.svg/960px-Aiga_NoDogs_-_Red.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,Converted from AIGA's Symbol Signs collection.
aiga_nodogs.png,File:Aiga nodogs.svg,https://commons.wikimedia.org/wiki/File:Aiga_nodogs.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/41/Aiga_nodogs.svg/960px-Aiga_nodogs.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,File:Aiga_nodogs.png
aiga_noentry.png,File:Aiga noentry.svg,https://commons.wikimedia.org/wiki/File:Aiga_noentry.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/Aiga_noentry.svg/960px-Aiga_noentry.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,This file was derived from:  Aiga noentry.svg: 
aiga_noparking_red.png,File:Aiga NoParking - Red.svg,https://commons.wikimedia.org/wiki/File:Aiga_NoParking_-_Red.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7b/Aiga_NoParking_-_Red.svg/960px-Aiga_NoParking_-_Red.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,Converted from AIGA's Symbol Signs collection.
aiga_noparking.png,File:Aiga noparking.svg,https://commons.wikimedia.org/wiki/File:Aiga_noparking.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f7/Aiga_noparking.svg/960px-Aiga_noparking.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,AIGA's Symbol Signs download.
aiga_nosmoking.png,File:Aiga nosmoking.svg,https://commons.wikimedia.org/wiki/File:Aiga_nosmoking.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dd/Aiga_nosmoking.svg/960px-Aiga_nosmoking.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_nursery.png,File:Aiga nursery.svg,https://commons.wikimedia.org/wiki/File:Aiga_nursery.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4d/Aiga_nursery.svg/960px-Aiga_nursery.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_parking.png,File:Aiga parking.svg,https://commons.wikimedia.org/wiki/File:Aiga_parking.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ef/Aiga_parking.svg/960px-Aiga_parking.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,openclipart
aiga_railtransportation_25_white.png,File:Aiga railtransportation 25 white.svg,https://commons.wikimedia.org/wiki/File:Aiga_railtransportation_25_white.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/Aiga_railtransportation_25_white.svg/960px-Aiga_railtransportation_25_white.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,"This image is from a collection commissioned by the United States Department of Transportation and designed by AIGA. It is copyright-free, and is available here."
aiga_railtransportation_25.png,File:Aiga railtransportation 25.svg,https://commons.wikimedia.org/wiki/File:Aiga_railtransportation_25.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/38/Aiga_railtransportation_25.svg/960px-Aiga_railtransportation_25.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,"This image is from a collection commissioned by the United States Department of Transportation and designed by AIGA. It is copyright-free, and is available here."
aiga_railtransportation.png,File:Aiga railtransportation.svg,https://commons.wikimedia.org/wiki/File:Aiga_railtransportation.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7e/Aiga_railtransportation.svg/960px-Aiga_railtransportation.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,Own work based on Image:Aiga railtransportation.gif from the AIGA symbol signs collection.
aiga_restaurant_2.png,File:Aiga restaurant 2.svg,https://commons.wikimedia.org/wiki/File:Aiga_restaurant_2.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/Aiga_restaurant_2.svg/960px-Aiga_restaurant_2.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,Own work +File:Aiga restaurant .svg
aiga_restaurant.png,File:Aiga restaurant.svg,https://commons.wikimedia.org/wiki/File:Aiga_restaurant.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c9/Aiga_restaurant.svg/960px-Aiga_restaurant.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,From AIGA symbol signs collection
aiga_shops.png,File:Aiga shops.svg,https://commons.wikimedia.org/wiki/File:Aiga_shops.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5d/Aiga_shops.svg/960px-Aiga_shops.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_stairs_down.png,File:Aiga stairs down.png,https://commons.wikimedia.org/wiki/File:Aiga_stairs_down.png,https://upload.wikimedia.org/wikipedia/commons/5/5f/Aiga_stairs_down.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/png,Public domain,
aiga_stairs.png,File:Aiga stairs.svg,https://commons.wikimedia.org/wiki/File:Aiga_stairs.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/43/Aiga_stairs.svg/960px-Aiga_stairs.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_taxi.png,File:Aiga taxi.svg,https://commons.wikimedia.org/wiki/File:Aiga_taxi.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/40/Aiga_taxi.svg/960px-Aiga_taxi.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_telephone.png,File:Aiga telephone.svg,https://commons.wikimedia.org/wiki/File:Aiga_telephone.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0b/Aiga_telephone.svg/960px-Aiga_telephone.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_ticketpurchase_inv_svg_biglietteria_a_sportello.png,File:Aiga ticketpurchase inv.svg - Biglietteria a Sportello.png,https://commons.wikimedia.org/wiki/File:Aiga_ticketpurchase_inv.svg_-_Biglietteria_a_Sportello.png,https://upload.wikimedia.org/wikipedia/commons/3/34/Aiga_ticketpurchase_inv.svg_-_Biglietteria_a_Sportello.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/png,Public domain,Unknown sourceUnknown source
aiga_ticketpurchase.png,File:Aiga ticketpurchase.svg,https://commons.wikimedia.org/wiki/File:Aiga_ticketpurchase.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f9/Aiga_ticketpurchase.svg/960px-Aiga_ticketpurchase.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_toiletsq_men.png,File:Aiga toiletsq men.svg,https://commons.wikimedia.org/wiki/File:Aiga_toiletsq_men.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4e/Aiga_toiletsq_men.svg/960px-Aiga_toiletsq_men.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,http://www.aiga.org/Resources/SymbolSigns/gif_large/12_toiletsq_men.gif
aiga_waitingroom.png,File:Aiga waitingroom.svg,https://commons.wikimedia.org/wiki/File:Aiga_waitingroom.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a5/Aiga_waitingroom.svg/960px-Aiga_waitingroom.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,This file was derived from:  Aiga waitingroom.png: 
aiga_watertransportation.png,File:Aiga watertransportation.svg,https://commons.wikimedia.org/wiki/File:Aiga_watertransportation.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/94/Aiga_watertransportation.svg/960px-Aiga_watertransportation.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,"self-made SVG remake of Image:Aiga watertransportation.gif, which is PD as a US government work"
aiga_no_parking.png,File:Aiga-no-parking.svg,https://commons.wikimedia.org/wiki/File:Aiga-no-parking.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/Aiga-no-parking.svg/960px-Aiga-no-parking.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,CC0,https://openclipart.org/detail/26634/aiga-no-parking
aiga_uparrow.png,File:Aiga uparrow.svg,https://commons.wikimedia.org/wiki/File:Aiga_uparrow.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/aa/Aiga_uparrow.svg/960px-Aiga_uparrow.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,see below.
aiga_forwardandrightarrow.png,File:Aiga forwardandrightarrow.svg,https://commons.wikimedia.org/wiki/File:Aiga_forwardandrightarrow.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a4/Aiga_forwardandrightarrow.svg/960px-Aiga_forwardandrightarrow.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,see below.
aiga_rightarrow.png,File:Aiga rightarrow.svg,https://commons.wikimedia.org/wiki/File:Aiga_rightarrow.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/64/Aiga_rightarrow.svg/960px-Aiga_rightarrow.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,see below.
aiga_rightanddownarrow.png,File:Aiga rightanddownarrow.svg,https://commons.wikimedia.org/wiki/File:Aiga_rightanddownarrow.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/Aiga_rightanddownarrow.svg/960px-Aiga_rightanddownarrow.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,see below.
aiga_downarrow.png,File:Aiga downarrow.svg,https://commons.wikimedia.org/wiki/File:Aiga_downarrow.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/Aiga_downarrow.svg/960px-Aiga_downarrow.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,see below.
